StockCode,StockName,MonthlyReturn,MonthlyTurnoverRate,MonthlyTradingAmount,MonthlyTradingVolume,ATR,ADTM,VMA,AssetTurnover,NetProfit,R&D,BBIBOLL,MACD,OperatingProfitRatio,TotalRevenue,AnnualVolatility,Beta24M,Beta100W,ROA,GrossProfit,CashFlowPerShare,EPS,ROC,MASS,BBI,PB,PE,PEG,VR,PSY,WVAD,rank10,rank2,rank10_next,rank2_next,MonthlyReturn_next
600309.SH,万华化学,0.54347826086957,0.44897495721736,10957144168.0,126456551.0,1.15,0.4961016459717,7762145.53,0.71063741,15328559428.05,3855057757.44,87.3903125,-1.1439936934107,101.957883736,167699186018.46,28.552182717076,1.3819280901973,1.2603540655923,7.8544143157139,27843521279.57,1.4652865159317,4.8821007724367,8.029197080292,24.523042787839,87.3903125,3.309241180073,17.17481356113,-0.50306774941688,107.46797609274,47.0,18332989.688367,7,1,0,0,-9.1779279279279
600332.SH,白云山,-5.1241247612985,0.93692975776901,3190346197.0,107287446.0,0.71,-0.0082070707070706,6970088.18,1.03076759,4283405574.3,734548737.96,29.527916666667,-0.46908242433217,100.5740358111,74166789318.2,22.06574809281,0.85435792094981,0.76614917104753,7.081649549779,14109811384.61,-0.70259400870856,2.6346595033849,-13.843930635838,26.80267270822,29.527916666667,1.3982899595449,12.218468854948,1.8427819215755,67.272659125307,43.0,-63002202.588177,3,0,7,1,1.1405568601141
600346.SH,恒力石化,1.6666666666667,0.77445697090371,3536027457.0,252230146.0,0.29,0.26859903381642,13805904.9,0.88488215,1932139847.04,1250334570.42,14.103645833333,-0.1382674182702,94.884796196865,225144657311.88,30.400476533894,1.1574958864325,0.86814110020273,2.3316363832503,21656464006.04,-0.39623862764772,0.27448678180168,-6.4536741214057,26.49734042674,14.103645833333,1.754867945668,44.451658587076,-0.52251112685418,98.843850860911,44.0,-32437218.280405,7,1,3,0,-4.1666666666667
600362.SH,江西铜业,-4.7248182762201,1.0589688307452,2868468055.0,156591119.0,0.2,0.35537848605578,9518367.86,2.70298026,6208431270.0,879892476.0,18.2925,-0.34747606485314,101.15058425524,511335015871.0,28.093613573114,1.2375662338514,1.4525629190116,4.3971835428268,13933538977.0,-0.29182409533384,1.7929299531853,-0.8108108108108,23.652053989441,18.2925,0.78826914860825,10.600844729317,1.6669173755811,118.00368400306,44.0,18551825.589653,3,0,3,0,-3.4877384196185
600372.SH,中航机载,-3.6016949152542,1.0486088023322,4536783877.0,332924872.0,0.15,0.07692307692308,22285814.01,0.23408443,1358553353.87,1381746254.02,13.565729166667,-0.29915666161912,99.543364772219,11782879489.4,27.681838459939,0.89737363046092,0.35694381631827,3.1579755542825,3873767570.55,1.6584406883496,0.28075684556833,-8.0808080808081,26.041941320767,13.565729166667,1.8689471470052,75.754085131265,8.263901438198,91.273245825062,40.0,-77097571.110816,4,0,2,0,-5.4945054945055
600377.SH,宁沪高速,-5.1973051010587,1.6547533698471,1341223318.0,132368135.0,0.32,0.50429447852761,7834097.2,0.19699262,4651846216.3,,10.064479166667,-0.022331300906743,100.51332530038,15379918534.38,17.488729666639,0.36459334543842,0.43394403514648,8.8509425016535,5641206357.27,-0.023331165015714,0.92339804968391,3.0334728033473,27.072808318645,10.064479166667,1.4671947305542,13.324457130049,-1.2246030190955,112.25700875482,51.0,27058744.83861,3,0,8,1,3.4517766497462
600406.SH,国电南瑞,1.6223524109959,0.42177085935901,5398579790.0,243666946.0,0.36,0.40127020785219,15073869.4,0.68160078,6951554491.4,2655621150.7,22.258854166667,-0.1267847674451,99.796751505814,49780098255.05,31.591049417552,0.71687782854373,0.54661182228735,10.595656735415,13781238486.93,0.35510633739426,0.86537108830162,-16.41957005189,26.165033254032,22.258854166667,4.0947821127979,28.101117457001,1.9727836788817,119.750649064,49.0,47389628.896693,7,1,4,0,-2.3946784922395
600415.SH,小商品城,-13.938053097345,2.7263593318671,9290315602.0,1120793849.0,0.25,0.53710691823899,123459600.82,0.28173033,1801502055.44,21995442.61,8.0248958333333,-0.28300296437331,99.781061255253,9204850290.95,50.740388898362,0.96896977730804,1.5443174010421,6.4434497026038,1736664599.68,-0.14055207602975,0.32837726899885,-6.2650602409639,23.223563523907,8.0248958333333,2.4647642585379,38.635755831116,-2.2471235230239,115.2097049436,48.0,665993108.42502,0,0,7,1,2.1850899742931
600426.SH,华鲁恒升,0.21806853582555,0.42748295514405,3270599295.0,104004110.0,0.34,0.53870873502775,9648599.34,0.71266546,3682315712.58,625033358.14,31.558125,-0.28923194207063,104.90057956244,26582497380.84,28.7050155852,1.231967580467,1.0246160208175,10.600497290566,5629651501.92,-0.75501347889391,1.7342255120821,11.623872310895,24.970439060619,31.558125,2.4195646779587,10.860730687889,-0.81660629472335,125.97302420901,53.0,29762054.693635,7,1,1,0,-7.2116879079888
600436.SH,片仔癀,-9.0876058282766,0.60591133015748,7192139343.0,28408199.0,2.63,0.039012790025067,1401243.31,0.65372046,2824503747.56,266972700.27,251.858125,-6.840336406687,99.992514210844,9678108258.59,31.847745478991,1.4455686376522,1.0267913151394,21.033856448304,4498288189.7,0.36194608761451,4.6816230346885,-16.040268456376,26.965623149509,251.858125,11.605005106304,61.055387630901,36.305566166699,84.919395939318,43.0,-9790867.0916332,1,0,6,1,1.0231814548361
